CVE_ENTIDAD,ENTIDAD,CVE_MUNICIPIO,MUNICIPIO,CVE_LOCALIDAD,LOCALIDAD,INSTITUCION,NOMBRE_INSTITUCION,ESCUELA,NOMBRE_ESCUELA,CV_CONTROL,CONTROL,CV_SUBCONTROL,C_SUBCONTROL,DOMICILIO,MODALIDAD,ESCUELAS_TEC_ESC,ALUMNOS_TEC_ESC,TEC_HOM_ESC,TEC_MUJ_ESC,NI_TEC_TOTAL_ESC,NI_TEC_HOM_ESC,NI_TEC_MUJ_ESC,EGRE_TEC_TOTAL_ESC,EGRE_TEC_HOM_ESC,EGRE_TEC_MUJ_ESC,TITU_TEC_TOTAL_ESC,TITU_TEC_HOM_ESC,TITU_TEC_MUJ_ESC,DOC_TEC_TOTAL_ESC,DOC_TEC_HOMBRES_ESC,DOC_TEC_MUJERES_ESC,ESC_LIC_ESC,ALUMNOS_LIC_ESC,LIC_HOM_ESC,LIC_MUJ_ESC,NI_LIC_TOTAL_ESC,NI_LIC_HOM_ESC,NI_LIC_MUJ_ESC,EGRE_LIC_TOTAL_ESC,EGRE_LIC_HOM_ESC,EGRE_LIC_MUJ_ESC,TITU_LIC_TOTAL_ESC,TITU_LIC_HOM_ESC,TITU_LIC_MUJ_ESC,DOC_LIC_TOTAL_ESC,DOC_LIC_HOMBRES_ESC,DOC_LIC_MUJERES_ESC,ESC_NORMAL_ESC,ALUMNOS_LIC_ESC_NORMAL,NORMAL_HOM_ESC,NORMAL_MUJ_ESC,NI_NORMAL_TOTAL_ESC,NI_NORMAL_HOM_ESC,NI_NORMAL_MUJ_ESC,EGRE_NORMAL_TOTAL_ESC,EGRE_NORMAL_HOM_ESC,EGRE_NORMAL_MUJ_ESC,TITU_NORMAL_TOTAL_ESC,TITU_NORMAL_HOM_ESC,TITU_NORMAL_MUJ_ESC,DOC_NORMAL_TOTAL_ESC,DOC_NORMAL_HOMBRES_ESC,DOC_NORMAL_MUJERES_ESC,ESC_POS_ESC,ALUM_POS_ESC,POS_HOMBRES_ESC,POS_MUJERES_ESC,NI_POS_TOTALES_ESC,NI_POS_HOMBRES_ESC,NI_POS_MUJERES_ESC,EGRE_POS_TOTAL_ESC,EGRE_POS_HOMBRES_ESC,EGRE_POS_MUJERES_ESC,TITU_POS_TOTAL_ESC,TITU_POS_HOMBRES_ESC,TITU_POS_MUJERES_ESC,DOC_POS_TOTAL_ESC,DOC_POS_HOMBRES_ESC,DOC_POS_MUJERES_ESC
1,AGUASCALIENTES,6,PABELL”N DE ARTEAGA,1,PABELL”N DE ARTEAGA,01MSU0022Z,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,01DIT0001Z,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,1,P⁄BLICO,1,FEDERAL,CALLE UNIDAD PRIMERA DEL DISTRITO DE RIEGO DEL MUNICIPIO DE PABELLON DE ARTEAGA 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,998,641,357,348,222,126,52,30,22,91,48,43,36,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,2,0
1,AGUASCALIENTES,10,EL LLANO,1,PALO ALTO,01MSU0045K,INSTITUTO TECNOLOGICO EL LLANO AGUASCALIENTES,01DIT0002Z,INSTITUTO TECNOLOGICO EL LLANO AGUASCALIENTES,1,P⁄BLICO,1,FEDERAL,CALLE CARRETERA AGUASCALIENTES-SAN LUIS POTOSI KILOMETRO 18 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1074,573,501,240,120,120,152,77,75,111,53,58,31,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,11,14,13,5,8,14,8,6,5,3,2,17,13,4
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0029T,INSTITUTO TECNOLOGICO DE AGUASCALIENTES,01DIT0015C,INSTITUTO TECNOLOGICO DE AGUASCALIENTES,1,P⁄BLICO,1,FEDERAL,AVENIDA LICENCIADO ADOLFO LOPEZ MATEOS 1801,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6199,3868,2331,1198,755,443,902,593,309,383,227,156,239,164,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126,79,47,39,21,18,19,16,3,19,16,3,41,26,15
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU9002V,CENTRO REGIONAL DE EDUCACION NORMAL DE AGUASCALIENTES,01DNL0001C,CENTRO REGIONAL DE EDUCACION NORMAL DE AGUASCALIENTES,1,P⁄BLICO,5,FEDERAL TRANSFERIDO,AVENIDA DE LOS MAESTROS KILOMETRO 1.9 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,631,83,548,169,27,142,111,16,95,107,15,92,70,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,7,RINC”N DE ROMOS,1,RINC”N DE ROMOS,01MSU9006R,"ESCUELA NORMAL DE RINC”N DE ROMOS ""DR. RAFAEL FRANCISCO AGUILAR LOMELÕ""",01DNL0002B,"ESCUELA NORMAL DE RINC”N DE ROMOS ""DR. RAFAEL FRANCISCO AGUILAR LOMELÕ""",1,P⁄BLICO,5,FEDERAL TRANSFERIDO,PROLONGACI”N ALDAMA NORTE 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,516,223,293,150,64,86,43,19,24,42,18,24,63,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU9001W,ESCUELA NORMAL SUPERIOR FEDERAL DE AGS. PROFR. JOS… SANTOS VALD…S,01DNL0003A,ESCUELA NORMAL SUPERIOR FEDERAL DE AGS. PROFR. JOSE SANTOS VALDES,1,P⁄BLICO,5,FEDERAL TRANSFERIDO,BOULEVARD NAZARIO ORTIZ GARZA 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,606,214,392,205,83,122,37,11,26,37,11,26,76,41,35,1,52,16,36,0,0,0,0,0,0,0,0,0,4,1,3
1,AGUASCALIENTES,1,AGUASCALIENTES,239,GENERAL JOS… MARÕA MORELOS Y PAV”N (CA—ADA HONDA),01MSU9005S,"ESCUELA NORMAL RURAL ""JUSTO SIERRA M…NDEZ""",01DNL0004Z,"ESCUELA NORMAL RURAL ""JUSTO SIERRA M…NDEZ""",1,P⁄BLICO,5,FEDERAL TRANSFERIDO,CALLE EMILIO RANGEL 208,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356,0,356,120,0,120,70,0,70,68,0,68,57,35,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0001N,UNIDAD U.P.N. 011 AGUASCALIENTES,01DUP0002H,UNIDAD U.P.N. 011 AGUASCALIENTES,1,P⁄BLICO,5,FEDERAL TRANSFERIDO,CALLE JESUS CONSUELO 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147,8,139,58,4,54,0,0,0,15,2,13,16,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,7,15,0,0,0,0,0,0,6,1,5,3,0,3
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU9003U,ILUSTRE BENEM…RITA Y CENTENARIA ESCUELA NORMAL DE AGUASCALIENTES,01ENL0001B,ILUSTRE BENEM…RITA Y CENTENARIA ESCUELA NORMAL DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,AVENIDA PASEO DE LA CRUZ 904,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,459,0,459,122,0,122,83,0,83,83,0,83,21,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0011U,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,01EPO0001X,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,CALLE PASEO SAN GERARDO 207,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2552,1694,858,1003,681,322,497,331,166,202,129,73,222,139,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,25,1,8,8,0,1,1,0,0,0,0,6,5,1
