CVE_ENTIDAD,ENTIDAD,CVE_MUNICIPIO,MUNICIPIO,CVE_LOCALIDAD,LOCALIDAD,INSTITUCION,NOMBRE_INSTITUCION,ESCUELA,NOMBRE_ESCUELA,CV_CONTROL,CONTROL,CV_SUBCONTROL,C_SUBCONTROL,DOMICILIO,MODALIDAD,ESCUELAS_TEC_ESC,ALUMNOS_TEC_ESC,TEC_HOM_ESC,TEC_MUJ_ESC,NI_TEC_TOTAL_ESC,NI_TEC_HOM_ESC,NI_TEC_MUJ_ESC,EGRE_TEC_TOTAL_ESC,EGRE_TEC_HOM_ESC,EGRE_TEC_MUJ_ESC,TITU_TEC_TOTAL_ESC,TITU_TEC_HOM_ESC,TITU_TEC_MUJ_ESC,DOC_TEC_TOTAL_ESC,DOC_TEC_HOMBRES_ESC,DOC_TEC_MUJERES_ESC,ESC_LIC_ESC,ALUMNOS_LIC_ESC,LIC_HOM_ESC,LIC_MUJ_ESC,NI_LIC_TOTAL_ESC,NI_LIC_HOM_ESC,NI_LIC_MUJ_ESC,EGRE_LIC_TOTAL_ESC,EGRE_LIC_HOM_ESC,EGRE_LIC_MUJ_ESC,TITU_LIC_TOTAL_ESC,TITU_LIC_HOM_ESC,TITU_LIC_MUJ_ESC,DOC_LIC_TOTAL_ESC,DOC_LIC_HOMBRES_ESC,DOC_LIC_MUJERES_ESC,ESC_NORMAL_ESC,ALUMNOS_LIC_ESC_NORMAL,NORMAL_HOM_ESC,NORMAL_MUJ_ESC,NI_NORMAL_TOTAL_ESC,NI_NORMAL_HOM_ESC,NI_NORMAL_MUJ_ESC,EGRE_NORMAL_TOTAL_ESC,EGRE_NORMAL_HOM_ESC,EGRE_NORMAL_MUJ_ESC,TITU_NORMAL_TOTAL_ESC,TITU_NORMAL_HOM_ESC,TITU_NORMAL_MUJ_ESC,DOC_NORMAL_TOTAL_ESC,DOC_NORMAL_HOMBRES_ESC,DOC_NORMAL_MUJERES_ESC,ESC_POS_ESC,ALUM_POS_ESC,POS_HOMBRES_ESC,POS_MUJERES_ESC,NI_POS_TOTALES_ESC,NI_POS_HOMBRES_ESC,NI_POS_MUJERES_ESC,EGRE_POS_TOTAL_ESC,EGRE_POS_HOMBRES_ESC,EGRE_POS_MUJERES_ESC,TITU_POS_TOTAL_ESC,TITU_POS_HOMBRES_ESC,TITU_POS_MUJERES_ESC,DOC_POS_TOTAL_ESC,DOC_POS_HOMBRES_ESC,DOC_POS_MUJERES_ESC
1,AGUASCALIENTES,6,PABELL”N DE ARTEAGA,1,PABELL”N DE ARTEAGA,01MSU0022Z,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,01DIT0001Z,INSTITUTO TECNOLOGICO DE PABELLON DE ARTEAGA,1,P⁄BLICO,1,FEDERAL,CALLE UNIDAD PRIMERA DEL DISTRITO DE RIEGO DEL MUNICIPIO DE PABELLON DE ARTEAGA 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,744,451,293,241,148,93,100,59,41,23,12,11,40,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,0,0,0,0,0,0,0,3,3,0
1,AGUASCALIENTES,10,EL LLANO,1,PALO ALTO,01MSU0045K,INSTITUTO TECNOLOGICO EL LLANO AGUASCALIENTES,01DIT0002Z,INSTITUTO TECNOLOGICO EL LLANO AGUASCALIENTES,1,P⁄BLICO,1,FEDERAL,CALLE CARRETERA AGUASCALIENTES-SAN LUIS POTOSI KILOMETRO 18 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1039,549,490,255,146,109,91,43,48,63,27,36,63,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,13,14,12,6,6,8,5,3,2,1,1,63,33,30
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0029T,INSTITUTO TECNOLOGICO DE AGUASCALIENTES,01DIT0015C,INSTITUTO TECNOLOGICO DE AGUASCALIENTES,1,P⁄BLICO,1,FEDERAL,AVENIDA LICENCIADO ADOLFO LOPEZ MATEOS 1801,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6096,3812,2284,1173,742,431,685,432,253,225,130,95,239,164,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138,78,60,33,22,11,42,23,19,42,23,19,47,34,13
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU9002V,CENTRO REGIONAL DE EDUCACION NORMAL DE AGUASCALIENTES,01DNL0001C,CENTRO REGIONAL DE EDUCACION NORMAL DE AGUASCALIENTES,1,P⁄BLICO,5,FEDERAL TRANSFERIDO,AVENIDA DE LOS MAESTROS KILOMETRO 1.9 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,674,81,593,197,16,181,134,12,122,131,12,119,72,34,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,7,RINC”N DE ROMOS,1,RINC”N DE ROMOS,01MSU9006R,"ESCUELA NORMAL DE RINC”N DE ROMOS ""DR. RAFAEL FRANCISCO AGUILAR LOMELÕ""",01DNL0002B,"ESCUELA NORMAL DE RINC”N DE ROMOS ""DR. RAFAEL FRANCISCO AGUILAR LOMELÕ""",1,P⁄BLICO,5,FEDERAL TRANSFERIDO,PROLONGACI”N ALDAMA NORTE 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,522,210,312,151,64,87,89,36,53,85,34,51,65,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU9001W,ESCUELA NORMAL SUPERIOR FEDERAL DE AGS. PROFR. JOS… SANTOS VALD…S,01DNL0003A,ESCUELA NORMAL SUPERIOR FEDERAL DE AGS. PROFR. JOSE SANTOS VALDES,1,P⁄BLICO,5,FEDERAL TRANSFERIDO,BOULEVARD NAZARIO ORTIZ GARZA 0,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,707,251,456,250,85,165,98,21,77,91,20,71,80,41,39,1,51,16,35,0,0,0,0,0,0,0,0,0,4,1,3
1,AGUASCALIENTES,1,AGUASCALIENTES,239,GENERAL JOS… MARÕA MORELOS Y PAV”N (CA—ADA HONDA),01MSU9005S,"ESCUELA NORMAL RURAL ""JUSTO SIERRA M…NDEZ""",01DNL0004Z,"ESCUELA NORMAL RURAL ""JUSTO SIERRA M…NDEZ""",1,P⁄BLICO,5,FEDERAL TRANSFERIDO,CALLE EMILIO RANGEL 208,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,356,0,356,121,0,121,77,0,77,76,0,76,54,33,21,1,38,15,23,38,15,23,0,0,0,0,0,0,11,6,5
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0001N,UNIDAD U.P.N. 011 AGUASCALIENTES,01DUP0002H,UNIDAD U.P.N. 011 AGUASCALIENTES,1,P⁄BLICO,5,FEDERAL TRANSFERIDO,CALLE JESUS CONSUELO 226,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166,14,152,41,8,33,14,1,13,18,2,16,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,5,12,0,0,0,3,0,3
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU9003U,ILUSTRE BENEM…RITA Y CENTENARIA ESCUELA NORMAL DE AGUASCALIENTES,01ENL0001B,ILUSTRE BENEM…RITA Y CENTENARIA ESCUELA NORMAL DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,AVENIDA PASEO DE LA CRUZ 904,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,484,0,484,143,0,143,100,0,100,99,0,99,65,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0011U,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,01EPO0001X,UNIVERSIDAD POLITECNICA DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,CALLE PASEO SAN GERARDO 207,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2611,1712,899,1008,661,347,435,278,157,369,256,113,197,123,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,13,10,14,4,10,9,8,1,3,2,1,7,4,3
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0007H,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,01ESU0001E,INSTITUTO ESTATAL DE SEGURIDAD PUBLICA DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,CALLE LOS CONOS 105,ESCOLARIZADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,13,5,18,13,5,19,9,10,19,10,9,26,18,8
1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,01MSU0013S,INSTITUTO CULTURAL DE AGUASCALIENTES,01ESU0003C,INSTITUTO CULTURAL DE AGUASCALIENTES,1,P⁄BLICO,2,ESTATAL,AVENIDA MANUEL GOMEZ MORIN 0,ESCOLARIZADA,1,99,52,47,30,17,13,6,3,3,0,0,0,0,0,0,1,289,74,215,78,17,61,57,24,33,32,10,22,124,71,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
